IP Address Count:
203.0.113.0: 96
172.16.0.1: 112
127.0.0.1: 97
10.0.0.2: 102
8.8.8.8: 91
10.0.0.1: 109
192.168.1.1: 95
172.16.0.2: 104
203.0.113.1: 101
192.168.0.100: 93

Status Code Count:
502: 102
201: 89
403: 97
404: 92
500: 74
400: 88
301: 91
503: 108
401: 89
302: 84
200: 86

Log Entries:
IP: 192.168.0.100, Timestamp: 20/Aug/2022:10:37:41 Eastern Daylight Time, Method: GET, URL: /products, Status: 200, Size: 2013
IP: 203.0.113.1, Timestamp: 15/Mar/2022:02:41:25 Eastern Daylight Time, Method: POST, URL: /services, Status: 201, Size: 1784
IP: 172.16.0.2, Timestamp: 14/Jul/2023:22:19:19 Eastern Daylight Time, Method: PUT, URL: /about, Status: 401, Size: 382
IP: 192.168.1.1, Timestamp: 30/Jan/2023:12:17:35 Eastern Standard Time, Method: POST, URL: /about, Status: 200, Size: 5074
IP: 192.168.0.100, Timestamp: 08/Sep/2022:22:13:09 Eastern Daylight Time, Method: PUT, URL: /index.html, Status: 502, Size: 3349
IP: 192.168.0.100, Timestamp: 02/Apr/2023:16:42:18 Eastern Daylight Time, Method: POST, URL: /about, Status: 200, Size: 355
IP: 10.0.0.2, Timestamp: 12/Mar/2023:16:55:48 Eastern Daylight Time, Method: PUT, URL: /services, Status: 403, Size: 343
IP: 203.0.113.1, Timestamp: 17/May/2020:17:16:44 Eastern Daylight Time, Method: GET, URL: /login, Status: 500, Size: 1482
IP: 203.0.113.1, Timestamp: 10/Oct/2021:13:24:58 Eastern Daylight Time, Method: PUT, URL: /home, Status: 502, Size: 821
IP: 127.0.0.1, Timestamp: 20/May/2021:08:14:57 Eastern Daylight Time, Method: GET, URL: /login, Status: 200, Size: 4323
IP: 203.0.113.0, Timestamp: 26/Mar/2024:23:37:27 Eastern Daylight Time, Method: DELETE, URL: /home, Status: 404, Size: 607
IP: 10.0.0.1, Timestamp: 09/Dec/2024:22:41:02 Eastern Standard Time, Method: PUT, URL: /api/data, Status: 500, Size: 2768
IP: 203.0.113.1, Timestamp: 06/Jul/2020:03:19:11 Eastern Daylight Time, Method: DELETE, URL: /contact, Status: 301, Size: 2552
IP: 172.16.0.2, Timestamp: 04/Jul/2024:21:36:51 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 401, Size: 1409
IP: 10.0.0.1, Timestamp: 15/Nov/2021:04:18:05 Eastern Standard Time, Method: GET, URL: /api/login, Status: 500, Size: 2931
IP: 10.0.0.1, Timestamp: 01/Sep/2021:01:20:35 Eastern Daylight Time, Method: POST, URL: /index.html, Status: 301, Size: 3864
IP: 172.16.0.1, Timestamp: 17/Mar/2024:16:47:27 Eastern Daylight Time, Method: GET, URL: /contact, Status: 502, Size: 2138
IP: 10.0.0.1, Timestamp: 11/May/2022:06:19:19 Eastern Daylight Time, Method: POST, URL: /api/data, Status: 401, Size: 1946
IP: 192.168.1.1, Timestamp: 03/Jul/2022:05:03:34 Eastern Daylight Time, Method: POST, URL: /contact, Status: 503, Size: 4074
IP: 172.16.0.1, Timestamp: 10/Oct/2022:14:07:27 Eastern Daylight Time, Method: POST, URL: /contact, Status: 400, Size: 4818
IP: 127.0.0.1, Timestamp: 28/Oct/2022:07:06:47 Eastern Daylight Time, Method: POST, URL: /products, Status: 301, Size: 4494
IP: 192.168.1.1, Timestamp: 20/Feb/2024:15:33:19 Eastern Standard Time, Method: POST, URL: /api/login, Status: 301, Size: 1082
IP: 10.0.0.2, Timestamp: 23/Dec/2020:08:43:24 Eastern Standard Time, Method: PUT, URL: /contact, Status: 401, Size: 5055
IP: 203.0.113.0, Timestamp: 27/Mar/2022:09:31:40 Eastern Daylight Time, Method: PUT, URL: /api/data, Status: 503, Size: 108
IP: 172.16.0.2, Timestamp: 23/Jun/2024:16:40:47 Eastern Daylight Time, Method: DELETE, URL: /contact, Status: 401, Size: 3632
IP: 203.0.113.0, Timestamp: 30/Aug/2024:10:08:04 Eastern Daylight Time, Method: GET, URL: /contact, Status: 503, Size: 622
IP: 172.16.0.1, Timestamp: 27/Sep/2023:20:30:28 Eastern Daylight Time, Method: DELETE, URL: /services, Status: 403, Size: 1276
IP: 172.16.0.1, Timestamp: 12/Nov/2023:08:35:46 Eastern Standard Time, Method: PUT, URL: /products, Status: 503, Size: 3601
IP: 10.0.0.1, Timestamp: 08/Aug/2020:11:59:29 Eastern Daylight Time, Method: POST, URL: /services, Status: 503, Size: 4050
IP: 8.8.8.8, Timestamp: 15/Jul/2022:22:02:30 Eastern Daylight Time, Method: PUT, URL: /about, Status: 404, Size: 3363
IP: 172.16.0.2, Timestamp: 11/Sep/2024:14:47:57 Eastern Daylight Time, Method: PUT, URL: /api/data, Status: 301, Size: 690
